timestamp,open,high,low,close,volume
2025-04-03,82508.5,83889.1,81205.1,83137.0,86226.1838
2025-04-04,83137.0,84678.5,81644.5,83861.5,94195.594
2025-04-05,83861.5,84238.0,82339.0,83499.5,78923.3138
2025-04-06,83499.5,83745.3,77126.4,78368.0,84943.6123
2025-04-07,78368.0,81172.7,74499.2,79105.5,88689.1775
2025-04-08,79105.5,80810.0,76211.8,76298.0,88399.6963
2025-04-09,76298.0,83553.7,74613.3,82581.7,94406.3481
2025-04-10,82581.7,82703.5,78426.0,79566.5,91581.5434
2025-04-11,79566.5,84242.5,78937.6,83385.7,94717.0972
2025-04-12,83385.7,85884.4,82756.3,85251.0,84939.5495
2025-04-13,85251.0,86091.1,83018.0,83700.0,80638.3238
2025-04-14,83700.0,85755.2,83663.5,84544.5,84023.5477
2025-04-15,84544.5,86440.4,83560.0,83608.9,107220.9184
2025-04-16,83608.9,85486.8,83066.1,83990.0,103524.91
2025-04-17,83990.0,85438.3,83726.9,84915.0,101962.662
2025-04-18,84915.0,85080.1,84253.8,84421.0,76530.0581
2025-04-19,84421.0,85571.2,84321.0,85047.0,81437.064
2025-04-20,85047.0,85280.3,83903.1,85141.5,86362.1551
2025-04-21,85141.5,88400.0,85100.0,87466.3,100095.834
2025-04-22,87466.3,94072.1,87055.0,93389.0,79858.8863
2025-04-23,93389.0,94700.0,91906.6,93632.4,82411.5583
2025-04-24,93632.4,93980.5,91634.5,93931.8,76091.5697
2025-04-25,93931.8,95722.1,92796.1,94583.5,77073.8227
2025-04-26,94583.5,95153.0,93833.0,94575.9,74664.0046
2025-04-27,94575.9,95271.0,93571.0,93697.0,76637.0166
2025-04-28,93697.0,95546.8,92750.0,94965.5,82399.0852
2025-04-29,94965.5,95417.1,93685.0,94209.4,75099.547
2025-04-30,94209.4,95154.2,92867.2,94125.1,67566.0805
2025-05-01,94125.1,97381.5,94087.9,96392.5,71762.9593
2025-05-02,96392.5,97849.0,96295.0,96846.0,70889.4216
2025-05-03,96846.0,96871.5,95700.0,95845.5,76154.0758
2025-05-04,95845.5,96266.8,94126.3,94252.5,73707.0675
2025-05-05,94252.5,95159.0,93458.3,94696.7,79706.0644
2025-05-06,94696.7,96857.0,93363.0,96800.1,71231.2758
2025-05-07,96800.1,97680.3,95731.1,96988.5,70534.2801
2025-05-08,96988.5,104257.0,96807.2,103249.5,72363.6031
2025-05-09,103249.5,104325.9,102288.2,102942.0,63561.2756
2025-05-10,102942.0,104957.1,102786.9,104789.0,67951.7318
2025-05-11,104789.0,104939.4,103300.0,104072.7,61692.5229
2025-05-12,104072.7,105809.9,100700.3,102739.2,85625.2614
2025-05-13,102739.2,104949.4,101405.9,104082.3,102102.918
2025-05-14,104082.3,104319.2,102536.8,103458.4,88369.5617
2025-05-15,103458.4,104152.2,101307.9,103726.2,95030.2293
2025-05-16,103726.2,104523.3,103064.2,103412.2,104118.531
2025-05-17,103412.2,103658.2,102557.4,103079.5,95341.149
2025-05-18,103079.5,106628.1,103052.2,106407.5,101311.3322
2025-05-19,106407.5,107081.1,102038.8,105531.8,91429.8259
2025-05-20,105531.8,107328.3,104136.5,106800.3,94643.6444
2025-05-21,106800.3,110785.4,105963.7,109609.8,110905.2313
2025-05-22,109609.8,111949.5,109156.7,111662.9,94661.5728
2025-05-23,111662.9,111770.6,106737.6,107271.5,96747.1105
2025-05-24,107271.5,109440.2,106836.0,107698.9,94113.0064
2025-05-25,107698.9,109285.3,106510.5,108956.2,98242.0151
2025-05-26,108956.2,110369.1,108616.6,109405.5,70543.5232
2025-05-27,109405.5,110666.4,107466.0,108886.9,61048.5409
2025-05-28,108886.9,109226.2,106733.8,107723.0,66702.4773
2025-05-29,107723.0,108857.0,105222.1,105545.0,66633.1266
